 MASS_RT,2,5,8,12,15,19,21,23,25,27,28,30,32,33,34,35,36,39,40,42,43,44,46,47,48,49,50,53,54,56,57,60,62,64,65,67,68,70,71, C12A, C15B, C19B, C21B, C23A, C25B, C27A, C28A, C2A, C30B, C32B, C33A, C34B, C35B, C36A, C39A, C40B, C42A, C43A, C44B, C46B, C47A, C48A, C49A, C50B, C53A, C54A, C56B, C57A, C5A, C60A, C62B, C64B, C65A, C67B, C68A, C70A, C71B, C8A
152.0834_22.69,63618,60246,60682,61108,66320,65297,50586,69385,59464,68494,61286,65437,65343,60105,61897,60149,67468,67666,69431,74458,62962,61869,72942,65188,59057,63018,62640,62355,67796,69204,64670,65396,67883,67563,62393,63632,70709,67813,65355,55328,62270,60952,68064,68453,39867,54102,56036,48582,56016,68457,58667,71066,57781,54478,53965,67270,72830,45734,64938,48421,61566,60170,52235,65776,70660,60974,65870,61552,55459,62790,54497,56601,58312,55155,68707,63827,62027,58253
1529.9632_19.2,22360,27029,23766,24168,31834,23397,28119,20449,25932,22444,28382,26158,36184,21433,26595,17745,26621,23141,21152,6809,25322,25962,28929,16258,32997,21351,25765,27624,18737,21288,27397,27502,26809,4775,24785,26577,26895,26194,27871,26716,24959,29755,30341,14589,20508,25782,25670,21435,1796,24493,20069,17046,28500,25387,22107,25347,20457,9388,20744,21444,29186,22602,10677,21358,24070,1992,25181,23658,25907,27199,32152,24712,25446,26808,27015,29428,29182,25453
1538.9137_19.19,155089,222130,225414,161746,214586,154945,246976,122494,189168,156293,224557,228231,214164,133211,216227,184878,168551,145974,148455,36231,131775,209055,171376,106089,194488,145238,161914,188131,106558,167646,235052,190905,196505,22628,201401,218995,174580,215543,223865,164280,151206,205855,210167,92755,136204,168038,203057,148719,12297,181261,130558,106090,185722,189563,146936,149234,162811,60411,162811,132168,187559,144605,70574,149755,182724,10987,178024,172046,186485,194668,212406,183251,208938,189825,157053,278846,247897,189957
154.0997_23.47,33201,33058,23818,34113,27447,33701,30888,39551,29439,34961,35913,33352,40352,31638,32002,39485,37840,39960,33358,30300,44491,33232,43663,37340,35728,34064,42777,29767,36108,31105,31705,37722,34187,34409,23875,32522,40520,35015,31332,39533,28726,27385,37307,34883,18507,36710,28389,31122,30553,32263,30915,41192,27772,32099,31564,39323,46481,35045,33167,23108,31242,31635,32914,40831,40485,32982,31964,31410,28371,31210,38534,21381,27849,23218,41147,37745,28956,32296
155.0347_0.67,92717,68914,56957,49637,81592,39614,105707,76782,71311,76337,80304,81500,42304,58845,73821,85313,81710,70578,44262,48912,56749,112584,64244,52503,79708,116804,70902,50878,46459,62201,42343,62306,46292,31200,34441,84010,73066,82449,79048,60951,76749,86206,108341,90732,68194,126141,93898,56888,44416,72471,69201,79246,67480,53153,92804,65246,66093,95109,51364,134862,51277,128105,17522,46168,42082,36179,78503,43782,64807,64180,40586,47663,38306,39567,46853,60124,67318,44631
155.0692_0.57,22036,18058,22859,19455,26675,25624,19966,25202,18663,15838,22190,20587,25334,22492,18216,19500,24952,17704,23932,11471,17336,18261,24573,20138,20262,19372,25103,21627,23242,26116,20881,27896,17149,14564,23315,22188,19694,22852,19162,30715,24413,15042,29803,22957,21307,24919,19011,21853,7979,26186,18839,29437,21312,21527,16078,25722,29199,15219,15118,29493,22933,19789,15143,21660,23717,10620,19139,18155,29274,21438,27738,21631,16707,15729,18082,28843,19106,23878
157.9577_0.61,170738,205138,275587,291059,291112,341832,264145,296476,317109,297263,255840,249105,285761,281903,295470,207895,310651,306953,322056,323320,224079,262560,295619,320967,224435,226404,300639,287254,282203,316855,270625,304792,289346,364855,293476,190211,301898,248336,255431,298989,327766,249683,298984,275616,290091,291708,257834,304039,304749,291623,278181,298317,277243,309514,241933,274881,322381,342115,284088,229948,319960,255661,342451,308537,347275,324510,279911,256946,289147,286984,334698,318768,271968,283180,315678,277457,268060,300128
158.0831_0.94,64511,112032,102009,105476,115950,78511,84866,66264,79796,121415,84983,84443,87630,111854,120817,53433,77170,123194,115864,38753,58780,94886,87407,72776,105361,123444,81667,74433,97407,99776,67637,102792,157327,29179,63986,143866,75520,152801,205276,95281,63041,78651,106537,62806,98337,74670,89543,76403,27108,66561,123904,122141,155895,124099,91542,67999,163261,62985,151725,73863,161091,131347,54012,127365,73829,44530,87624,109511,127751,174589,76346,270422,141919,155801,65253,178207,62233,85770
161.1045_0.69,1244140,1715506,1186303,1416864,1374287,1272834,1428429,1433080,1105638,1080660,1273108,1212292,2023495,877212,1058063,1058128,1125872,1482762,1079783,421225,2171223,1203062,1244906,1230465,1795391,1090902,1638890,1438049,1387235,858819,1246996,1917489,1671210,379300,892347,1235017,1088497,1262093,1384146,1418471,1311792,1447989,1632938,1250592,1691349,1680511,1495124,1166420,369803,1154269,969121,1153423,1535369,1468445,920158,1943476,1471854,852352,1200979,2173193,858668,1130838,429177,1115187,1249348,387031,1250123,1192884,1128639,1513781,1622002,1128237,1075702,1081845,1266442,1288344,1331514,1528513
1610.9119_17.67,83150,68746,62756,16799,56403,18879,63421,41091,42983,38068,66671,47318,59950,17377,53924,13682,26984,18842,64448,31425,59157,95348,92976,49255,31128,66940,33639,78355,20009,60858,43077,46892,54716,24445,15602,57953,80422,72702,102892,34983,45292,91134,27789,12804,23979,92928,34187,29161,24568,36586,24361,25317,56229,54838,40190,27292,79565,10829,47176,20316,20052,13126,27004,51818,54575,25045,30602,56341,35408,92596,23891,93750,162105,45170,13976,154010,45111,54681
